timestamp,camera,t0_capture,t1_encode_start,t2_encode_end,t3_pyo3,t4_agg,t5_ui,total_latency_ms
2026-09-19 16:28:43.013,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.846,1789815522.927,1789815522.936,1789815523.009,1789815523.009,1789815523.014,168.03
2026-09-19 16:28:43.097,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.932,1789815523.010,1789815523.018,1789815523.093,1789815523.093,1789815523.098,165.05
2026-09-19 16:28:43.179,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.017,1789815523.094,1789815523.102,1789815523.175,1789815523.175,1789815523.179,162.15
2026-09-19 16:28:43.265,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.098,1789815523.175,1789815523.184,1789815523.260,1789815523.260,1789815523.266,167.38
2026-09-19 16:28:43.354,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.183,1789815523.260,1789815523.267,1789815523.351,1789815523.351,1789815523.355,171.82
2026-09-19 16:28:43.438,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.266,1789815523.351,1789815523.359,1789815523.435,1789815523.435,1789815523.438,172.60
2026-09-19 16:28:43.520,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.356,1789815523.435,1789815523.443,1789815523.517,1789815523.517,1789815523.521,164.16
2026-09-19 16:28:43.605,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.443,1789815523.518,1789815523.525,1789815523.601,1789815523.601,1789815523.606,162.25
2026-09-19 16:28:43.687,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.524,1789815523.602,1789815523.609,1789815523.683,1789815523.683,1789815523.687,162.58
2026-09-19 16:28:43.771,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.607,1789815523.684,1789815523.691,1789815523.766,1789815523.766,1789815523.772,164.80
2026-09-19 16:28:43.854,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.690,1789815523.767,1789815523.776,1789815523.849,1789815523.849,1789815523.855,165.06
2026-09-19 16:28:43.939,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.773,1789815523.850,1789815523.859,1789815523.932,1789815523.932,1789815523.939,166.21
2026-09-19 16:28:44.021,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.859,1789815523.932,1789815523.942,1789815524.019,1789815524.019,1789815524.022,162.53
2026-09-19 16:28:44.107,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.939,1789815524.019,1789815524.026,1789815524.102,1789815524.102,1789815524.107,168.49
2026-09-19 16:28:44.189,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.023,1789815524.103,1789815524.111,1789815524.185,1789815524.185,1789815524.189,165.85
2026-09-19 16:28:44.272,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.111,1789815524.185,1789815524.193,1789815524.267,1789815524.267,1789815524.272,161.34
2026-09-19 16:28:44.355,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.193,1789815524.267,1789815524.275,1789815524.351,1789815524.351,1789815524.356,162.66
2026-09-19 16:28:44.440,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.273,1789815524.351,1789815524.360,1789815524.437,1789815524.437,1789815524.440,166.89
2026-09-19 16:28:44.524,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.359,1789815524.437,1789815524.444,1789815524.521,1789815524.521,1789815524.524,164.98
2026-09-19 16:28:44.610,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.443,1789815524.521,1789815524.528,1789815524.606,1789815524.606,1789815524.610,166.88
2026-09-19 16:28:44.694,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.522,1789815524.606,1789815524.614,1789815524.690,1789815524.690,1789815524.694,171.93
2026-09-19 16:28:44.777,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.613,1789815524.690,1789815524.698,1789815524.774,1789815524.774,1789815524.778,164.51
2026-09-19 16:28:44.860,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.696,1789815524.774,1789815524.781,1789815524.856,1789815524.856,1789815524.860,163.65
2026-09-19 16:28:44.944,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.778,1789815524.857,1789815524.864,1789815524.940,1789815524.941,1789815524.944,166.17
2026-09-19 16:28:45.026,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.863,1789815524.941,1789815524.947,1789815525.023,1789815525.023,1789815525.026,162.94
2026-09-19 16:28:45.109,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.945,1789815525.023,1789815525.029,1789815525.106,1789815525.106,1789815525.109,164.22
2026-09-19 16:28:45.194,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.028,1789815525.106,1789815525.112,1789815525.190,1789815525.190,1789815525.194,165.96
2026-09-19 16:28:45.276,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.110,1789815525.190,1789815525.196,1789815525.273,1789815525.273,1789815525.276,166.02
2026-09-19 16:28:45.361,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.198,1789815525.273,1789815525.280,1789815525.357,1789815525.357,1789815525.361,163.45
2026-09-19 16:28:45.446,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.277,1789815525.358,1789815525.365,1789815525.443,1789815525.443,1789815525.447,169.18
2026-09-19 16:28:45.528,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.363,1789815525.443,1789815525.450,1789815525.525,1789815525.525,1789815525.529,165.20
2026-09-19 16:28:45.612,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.448,1789815525.525,1789815525.534,1789815525.609,1789815525.609,1789815525.612,164.76
2026-09-19 16:28:45.694,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.533,1789815525.609,1789815525.616,1789815525.691,1789815525.691,1789815525.694,161.28
2026-09-19 16:28:45.777,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.613,1789815525.691,1789815525.698,1789815525.774,1789815525.774,1789815525.777,163.99
2026-09-19 16:28:45.859,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.699,1789815525.774,1789815525.781,1789815525.856,1789815525.857,1789815525.859,160.51
2026-09-19 16:28:45.946,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.778,1789815525.857,1789815525.864,1789815525.943,1789815525.943,1789815525.947,168.50
2026-09-19 16:28:46.029,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.863,1789815525.943,1789815525.950,1789815526.025,1789815526.025,1789815526.029,165.73
2026-09-19 16:28:46.111,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.953,1789815526.026,1789815526.033,1789815526.108,1789815526.108,1789815526.111,158.01
2026-09-19 16:28:46.193,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.027,1789815526.108,1789815526.115,1789815526.190,1789815526.190,1789815526.194,167.01
2026-09-19 16:28:46.277,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.114,1789815526.190,1789815526.199,1789815526.274,1789815526.274,1789815526.277,163.26
2026-09-19 16:28:46.360,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.198,1789815526.274,1789815526.282,1789815526.357,1789815526.357,1789815526.361,162.98
2026-09-19 16:28:46.443,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.357,1789815526.357,1789815526.365,1789815526.440,1789815526.440,1789815526.444,86.55
2026-09-19 16:28:46.529,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.364,1789815526.440,1789815526.449,1789815526.525,1789815526.525,1789815526.529,165.61
2026-09-19 16:28:46.611,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.448,1789815526.526,1789815526.534,1789815526.608,1789815526.608,1789815526.611,163.18
2026-09-19 16:28:46.696,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.531,1789815526.608,1789815526.615,1789815526.693,1789815526.693,1789815526.696,165.86
2026-09-19 16:28:46.780,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.614,1789815526.693,1789815526.700,1789815526.777,1789815526.777,1789815526.780,166.01
2026-09-19 16:28:46.863,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.697,1789815526.777,1789815526.785,1789815526.861,1789815526.861,1789815526.864,166.68
2026-09-19 16:28:46.948,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.787,1789815526.861,1789815526.868,1789815526.945,1789815526.945,1789815526.949,162.13
